clause_id	category	requirement	frozen_source	implementation_evidence	independent_validation	observed_value	expected_value	status	blocking	notes
K-03	Accounting	Current formal attempts are zero	experiments/fuzzer_v0/family_a/attempt_ledger.yaml	all qualification ledgers	Independent YAML cross-check	0	0	PASS	true	No V0P-A1 record exists.
K-04	Accounting	Current accepted attempts are zero	experiments/fuzzer_v0/family_a/activation_review/qualification_attempt_ledger.yaml	rereview ledger	Independent YAML cross-check	0	0	PASS	true	Static PASS is not qualification PASS.
K-05	Accounting	The next attempt identifier remains V0P-A1	experiments/fuzzer_v0/family_a/activation_review/qualification_attempt_ledger.yaml	rereview ledger	Independent YAML cross-check	V0P-A1	V0P-A1	PASS	true	The identifier is reserved but no attempt was created.
K-06	Accounting	All attempt arrays are empty	experiments/fuzzer_v0/family_a/attempt_ledger.yaml	all qualification ledgers	Independent YAML cross-check	[]	[]	PASS	true	No static test enters accounting.
K-07	Accounting	Qualification budget cannot transfer to comparison	experiments/fuzzer_v0/family_a/campaign_matrix.yaml	decision and execution authorization	Independent field inspection	no_budget_transfer=true and comparison unauthorized	no transfer	PASS	true	Comparison maximum remains 36.
K-08	Accounting	Qualification cannot produce strategy superiority	experiments/fuzzer_v0/family_a/analysis_plan.yaml	decision and runbook review	Independent claim-boundary inspection	no comparison or method-effectiveness claim	no strategy claim	PASS	true	State-aware gain remains NOT_ESTABLISHED.
K-09	Accounting	A formal attempt is registered before launch and every result is append-only	experiments/fuzzer_v0/family_a/evidence_rules.yaml	run_v0p_qualification.py	Independent control-flow and write-path inspection	scenario launches before ledger write and no ledger closure path exists	register then append accepted or rejected closure	FAIL	true	Rejected future attempts could not be preserved by this runner.
L-01	Decision closure	All blocking clauses must pass for approval	User activation re-review contract	independent_checklist.tsv	Independent status count	9 blocking FAIL clauses	zero blocking FAIL	NOT_APPLICABLE	false	Approval branch is not applicable because blockers remain.
L-02	Decision closure	A decline keeps every runtime authorization false	User activation re-review contract	qualification_activation_decision.json	Schema and field validation	all runtime and comparison fields=false	false	PASS	true	Qualification remains unauthorized.
L-03	Decision closure	A decline creates no authorization identity lock	User activation re-review contract	rereview_source_lock.yaml	Identity field inspection	NOT_APPLICABLE_DECISION_DECLINED	no second lock commit	PASS	false	Only one review commit is required.
L-04	Decision closure	The next action is an independent blocker-resolution amendment	User activation re-review contract	all new decision assets	Cross-file exact-string validation	create an independent blocker-resolution amendment for the new review findings	exact required action	PASS	true	No automatic repair or execution is authorized.
